Disease,Question
Mộng Mắt,"Tôi hay cảm thấy khó chịu khi tiếp xúc với ánh sáng. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi đang cảm thấy mắt bị đau khi chớp mắt. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi hiện đang có các triệu chứng như mắt bị đỏ và sưng húp mí mắt. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi đang cảm thấy khó khăn khi đeo kính áp tròng. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi hay cảm thấy mắt bị nhức mỏi. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi đang cảm thấy có màng mỏng che phủ một phần giác mạc. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi hiện đang có các triệu chứng như mắt bị đỏ và có nhiều gỉ mắt. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi đang cảm thấy mắt bị cộm và khó chịu khi thức dậy. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,"Tôi hay cảm thấy mắt bị khô và nóng rát. Tôi có thể đang bị bệnh gì?
"
Mộng Mắt,Tôi đang cảm thấy mắt bị đỏ và có dịch nhầy. Tôi có thể đang bị bệnh gì?
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như xuất hiện các khối u hoặc nếp nhăn màu vàng ở bên dưới lớp da. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy có một vòng cung màu trắng ở xung quanh giác mạc của mắt. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hay thấy nổi các cục u ở góc trong của mắt. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như mệt mỏi, khó thở khi gắng sức. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy đau ngực, tê bì chân tay. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hay bị chóng mặt, hoa mắt, ù tai. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như béo phì, thừa cân. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy tiểu nhiều, khát nước thường xuyên. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hay bị mờ mắt, thị lực giảm sút. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như đau đầu, mất ngủ. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy lo lắng, căng thẳng, dễ cáu gắt. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hay bị đau bụng, buồn nôn, nôn. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như ăn uống kém, sụt cân. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy da khô, ngứa ngáy. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hay bị chuột rút, tê bì chân tay. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như yếu cơ, đau nhức xương khớp. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy khó tập trung, hay quên. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hay bị rối loạn giấc ngủ, ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi hiện đang có các triệu chứng như dễ bị bầm tím, chảy máu cam. Tôi có thể đang bị bệnh gì?
"
Mỡ Máu Cao,"Tôi đang cảm thấy lạnh tay chân, da xanh xao. Tôi có thể đang bị bệnh gì?"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như nổi mụn sưng đỏ, cứng, có mủ trắng ở mặt. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi đang cảm thấy đau nhức, khó chịu khi chạm vào mụn. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hay bị mụn mọc thành từng cụm, tập trung ở vùng trán, mũi, cằm. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như mụn bọc để lại vết thâm, sẹo rỗ trên da. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi đang cảm thấy da mặt sần sùi, không đều màu do mụn. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hay bị mụn bọc tái đi tái lại nhiều lần. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như mụn bọc có kích thước lớn, sưng tấy. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi đang cảm thấy mụn bọc có mủ, dịch vàng, gây ngứa ngáy. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hay bị mụn bọc mọc ở lưng, ngực, vai. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như mụn bọc gây mất thẩm mỹ, ảnh hưởng đến tâm lý. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi đang cảm thấy lo lắng, căng thẳng vì tình trạng mụn bọc. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hay bị tự ti, ngại giao tiếp do mụn bọc. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như mụn bọc khiến tôi khó chịu, ảnh hưởng đến cuộc sống. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi đang cảm thấy mụn bọc ngày càng nặng hơn, lan rộng ra nhiều vùng da. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hay sử dụng nhiều loại mỹ phẩm, kem trị mụn nhưng không hiệu quả. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như mụn bọc xuất hiện nhiều hơn trong thời kỳ kinh nguyệt. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi đang cảm thấy mụn bọc xuất hiện nhiều hơn khi ăn đồ cay nóng, nhiều dầu mỡ. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hay bị mụn bọc xuất hiện nhiều hơn khi thức khuya, căng thẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,"Tôi hiện đang có các triệu chứng như mụn bọc xuất hiện nhiều hơn khi thời tiết thay đổi. Tôi có thể đang bị bệnh gì?
"
Mụn Bọc,Tôi đang cảm thấy mụn bọc xuất hiện nhiều hơn khi sử dụng một số loại thuốc. Tôi có thể đang bị bệnh gì?
Mụn Cám,"Tôi hiện đang có các triệu chứng như da sần sùi, thô ráp với những nốt nhỏ li ti màu trắng hoặc vàng ở mũi và cằm. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi đang cảm thấy da mặt mình tiết nhiều dầu hơn bình thường, đặc biệt là vùng chữ T. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi hay thức khuya và ăn đồ cay nóng, dạo gần đây da mặt xuất hiện nhiều nốt nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi đang mang thai và nhận thấy da mặt xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi hay rửa mặt mạnh tay và sử dụng mỹ phẩm không phù hợp với loại da. Gần đây da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi sống ở vùng khí hậu nóng ẩm, da thường xuyên đổ dầu và xuất hiện mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi đang trong giai đoạn dậy thì và da mặt xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi hay lo lắng, căng thẳng và da mặt xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi có tiền sử gia đình bị da dầu và hiện tại da tôi cũng xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi sử dụng kem trộn để dưỡng da và da mặt xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi thấy da mình xuất hiện nhiều nốt nhỏ li ti màu trắng ở vùng trán và hai bên má. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi cảm thấy da mình tiết nhiều dầu hơn và lỗ chân lông to hơn, kèm theo đó là những nốt nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi hay sờ tay lên mặt và nặn mụn, da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi không tẩy trang kỹ sau khi trang điểm và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi sử dụng sữa rửa mặt có tính tẩy rửa mạnh và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi thường xuyên tiếp xúc với bụi bẩn và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi đang trong giai đoạn tiền mãn kinh và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi có chu kỳ kinh nguyệt không đều và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,"Tôi ăn nhiều đồ ngọt và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
"
Mụn Cám,Tôi uống ít nước và da tôi xuất hiện nhiều mụn nhỏ li ti. Tôi có thể đang bị bệnh gì?
Mụn Cóc Phẳng,"Tôi hiện đang có các triệu chứng như da xuất hiện các nốt mụn nhỏ, phẳng, màu hồng hoặc nâu. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi đang cảm thấy ngứa ngáy ở vùng da có nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi hay cạo râu và lông chân, dạo gần đây da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi có vết trầy xước trên da và sau đó xuất hiện nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi tiếp xúc với người bị mụn cóc phẳng và sau đó da tôi cũng xuất hiện nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi đang điều trị ung thư bằng hóa trị và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi sử dụng thuốc ức chế miễn dịch và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi không tắm rửa thường xuyên và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi hay cạy nặn mụn trứng cá và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi thấy da mình xuất hiện nhiều nốt mụn phẳng ở cánh tay và đùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi cảm thấy da mình ngứa ngáy ở vùng da có nốt mụn phẳng, đặc biệt là sau khi ra mồ hôi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi hay gãi khi bị côn trùng cắn và sau đó da xuất hiện nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi sử dụng chung khăn tắm với người bị mụn cóc phẳng và sau đó da tôi cũng xuất hiện nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi bị HIV và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi bị tiểu đường và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi không vệ sinh sạch sẽ vùng kín và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi hay mặc quần áo bó sát và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi sử dụng mỹ phẩm không rõ nguồn gốc và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,"Tôi hay đi bơi ở hồ bơi công cộng và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Phẳng,Tôi đi giày không thoáng khí và da xuất hiện nhiều nốt mụn phẳng. Tôi có thể đang bị bệnh gì?
Mụn Cóc Ở Chân,"Tôi hiện đang có các triệu chứng như da chân xuất hiện nốt sần sùi, màu nâu hoặc đen, gây đau khi đi lại. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi đang cảm thấy ngứa ngáy ở vùng da chân có nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi hay đi chân trần và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi có vết trầy xước ở da chân và sau đó xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi tiếp xúc với người bị mụn cóc ở chân và sau đó da chân tôi cũng xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi thấy da chân mình xuất hiện nốt sần sùi ở lòng bàn chân và gót chân. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi cảm thấy da chân mình ngứa ngáy ở vùng da có nốt sần sùi, đặc biệt là sau khi đi giày. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi hay sử dụng dép chung với người khác và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi đi giày không thoáng khí và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi làm nghề vận động viên và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi thấy da chân mình dày lên và chai sần ở vùng có nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi cảm thấy đau nhói khi dẫm chân xuống đất. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi thấy nốt sần sùi ở da chân có những chấm đen nhỏ. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi thấy nốt sần sùi ở da chân mọc thành từng cụm. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi thấy nốt sần sùi ở da chân làm thay đổi nếp vân da. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi thấy da chân mình khô ráp và nứt nẻ sau khi xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi sử dụng đá bọt để chà xát vùng da chân có nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi sử dụng kem dưỡng da chân không rõ nguồn gốc và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,"Tôi hay đi bơi ở hồ bơi công cộng và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Chân,Tôi hay đi bộ đường dài và da chân xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
Mụn Cóc Ở Tay,"Tôi hiện đang có các triệu chứng như da tay xuất hiện nốt sần sùi, màu xám, hơi cứng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi đang cảm thấy ngứa ngáy ở vùng da tay có nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi hay cắn móng tay và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi có vết trầy xước trên da tay và sau đó xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi tiếp xúc với người bị mụn cóc ở tay và sau đó da tay tôi cũng xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi thấy da tay mình xuất hiện nốt sần sùi ở mặt sau ngón tay. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi cảm thấy da tay mình ngứa ngáy ở vùng da có nốt sần sùi, đặc biệt là khi rửa tay bằng nước lạnh. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi hay sử dụng dụng cụ làm nail chung với người khác và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi làm nghề sửa chữa ô tô và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi làm nghề nấu ăn và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi thấy móng tay mình mọc chậm và biến dạng sau khi xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi cảm thấy đau khi chạm vào nốt sần sùi ở da tay. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi thấy nốt sần sùi ở da tay có màu đen ở giữa. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi thấy nốt sần sùi ở da tay ngày càng lan rộng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi thấy nốt sần sùi ở da tay mọc thành từng cụm. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi thấy da tay mình khô ráp và nứt nẻ sau khi xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi sử dụng găng tay cao su khi làm việc nhà và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi sử dụng kem dưỡng da tay không rõ nguồn gốc và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,"Tôi hay đi bơi ở hồ bơi công cộng và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc Ở Tay,Tôi hay sử dụng máy tính và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
Mụn Cóc,"Tôi hiện đang có các triệu chứng như da xuất hiện nốt sần sùi, màu da hoặc xám trắng, có hình dạng như súp lơ. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi đang cảm thấy ngứa ngáy ở vùng da có nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi hay cắn móng tay và da tay xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi có vết trầy xước trên da và sau đó xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi tiếp xúc với người bị mụn cóc và sau đó da tôi cũng xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy da mình xuất hiện nốt sần sùi ở tay, chân, mặt và bộ phận sinh dục. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi cảm thấy da mình ngứa ngáy và bỏng rát ở vùng da có nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi hay gãi khi bị côn trùng cắn và sau đó da xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi sử dụng chung khăn tắm với người bị mụn cóc và sau đó da tôi cũng xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi bị suy giảm miễn dịch và da xuất hiện nhiều nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở da có màu đen ở giữa. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở da ngày càng lan rộng. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở da mọc thành từng cụm. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy da mình khô ráp và nứt nẻ sau khi xuất hiện nốt sần sùi. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở da chảy máu khi va chạm. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi cảm thấy đau khi đi lại do nốt sần sùi ở chân. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở bộ phận sinh dục gây khó chịu. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở da có hình dạng giống như thân cây. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,"Tôi thấy nốt sần sùi ở da có kích thước rất nhỏ. Tôi có thể đang bị bệnh gì?
"
Mụn Cóc,Tôi thấy nốt sần sùi ở da không gây đau đớn. Tôi có thể đang bị bệnh gì?
Mụn Nội Tiết,"Tôi hiện đang có các triệu chứng như mụn đầu trắng, đầu đen, mụn mủ và nốt sần trên mặt. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi đang cảm thấy có những nốt mụn viêm, sưng tấy ở cổ. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hay bị mụn mọc ở lưng, kèm theo rối loạn kinh nguyệt. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi có mụn đầu đen không đau ở má, nhưng lại bị cường androgen. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi đang cảm thấy xuất hiện mụn mủ ở ngực và cằm. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hay bị mụn nội tiết ở quai hàm, kèm theo rối loạn nội tiết tố. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hiện đang có triệu chứng mụn đầu đen ở mũi và cằm. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi đang cảm thấy xuất hiện mụn viêm sưng ở trán và lưng. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hay bị mụn nội tiết ở vùng má và cổ, có thể do thay đổi nội tiết tố. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi có mụn đầu trắng ở cằm và trán, không gây đau nhưng mất thẩm mỹ. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hiện đang có triệu chứng mụn mủ ở lưng và ngực, kèm theo rối loạn kinh nguyệt. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi đang cảm thấy xuất hiện nốt sần ở cằm, gây đau và khó chịu. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hay bị mụn nội tiết ở vùng trán và má, có liên quan đến chu kỳ kinh nguyệt. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi có mụn đầu đen ở mũi và cằm, không viêm nhưng lo lắng về nguyên nhân. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hiện đang có triệu chứng mụn mủ và nốt sần ở lưng, gây đau và mất thẩm mỹ. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi đang cảm thấy xuất hiện mụn viêm ở quai hàm, kèm theo thay đổi nội tiết tố. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hay bị mụn nội tiết ở vùng ngực và lưng, có liên quan đến chu kỳ kinh nguyệt. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi có mụn đầu trắng và đầu đen ở cằm và trán, không gây đau nhưng khó chịu. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi hiện đang có triệu chứng mụn mủ và nốt sần ở má, kèm theo rối loạn nội tiết. Tôi có thể đang bị bệnh gì?
"
Mụn Nội Tiết,"Tôi đang cảm thấy xuất hiện mụn viêm ở cổ và quai hàm, có liên quan đến thay đổi hormone. Tôi có thể đang bị bệnh gì?"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hiện đang có các triệu chứng như bít tắc lỗ chân lông, xuất hiện mụn nhọt, mụn đầu đen, mụn đầu trắng ở mặt. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi đang cảm thấy xuất hiện mụn mủ và u nang ở ngực và lưng. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hay bị mụn trứng cá ở vai và cánh tay trên. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi có mụn đầu đen và mụn đầu trắng ở trán, số lượng nhiều và kéo dài. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hiện đang có triệu chứng mụn mủ và u nang ở mặt, gây đau và sưng tấy. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi đang cảm thấy xuất hiện mụn nhọt và mụn đầu đen ở lưng, vai và ngực. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hay bị mụn trứng cá ở mặt, tập trung nhiều ở vùng trán và cằm. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi có mụn đầu trắng và mụn mủ ở lưng, gây mất thẩm mỹ và khó chịu. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hiện đang có triệu chứng bít tắc lỗ chân lông và xuất hiện mụn nhọt ở cánh tay trên. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi đang cảm thấy xuất hiện mụn đầu đen và mụn đầu trắng ở ngực, số lượng nhiều và kéo dài. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hay bị mụn trứng cá ở mặt, tập trung nhiều ở vùng má và mũi. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi có mụn mủ và u nang ở lưng và vai, gây đau và sưng tấy. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi hiện đang có triệu chứng bít tắc lỗ chân lông và xuất hiện mụn nhọt ở ngực. Tôi có thể đang bị bệnh gì?
"
Mụn Trứng Cá Tuổi Dậy Thì,"Tôi đang cảm thấy xuất hiện mụn đầu đen và mụn đầu trắng ở trán và cằm, số lượng nhiều và kéo dài. Tôi có thể đang bị bệnh gì?
"
